forecast_date,location,target,type,target_end_date,quantile,value
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.010,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.025,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.050,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.100,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.150,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.200,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.250,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.300,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.350,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.400,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.450,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.500,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.550,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.600,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.650,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.700,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.750,6017.0
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.800,6028.691200372676
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.850,6045.252478602647
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.900,6066.090348260275
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.950,6096.975210100854
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.975,6123.763221765229
2020-06-10,26,1 day ahead cum death,quantile,2020-06-11,0.990,6154.910074508167
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.010,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.025,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.050,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.100,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.150,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.200,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.250,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.300,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.350,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.400,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.450,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.500,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.550,6017.0
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.600,6024.536084054078
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.650,6040.442915685013
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.700,6057.206320245435
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.750,6075.296669473113
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.800,6095.441131206871
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.850,6118.92196163408
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.900,6148.466207983949
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.950,6192.255231607375
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.975,6230.235679169382
2020-06-10,26,2 day ahead cum death,quantile,2020-06-12,0.990,6274.396157451461
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.010,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.025,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.050,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.100,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.150,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.200,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.250,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.300,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.350,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.400,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.450,6017.0
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.500,6030.079232458669
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.550,6048.6752794858985
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.600,6067.570909589579
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.650,6087.101043008998
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.700,6107.682861891903
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.750,6129.893880542113
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.800,6154.626903085558
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.850,6183.456261544996
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.900,6219.730177455882
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.950,6273.493585123344
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.975,6320.125323323975
2020-06-10,26,3 day ahead cum death,quantile,2020-06-13,0.990,6374.344796612239
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.010,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.025,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.050,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.100,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.150,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.200,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.250,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.300,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.350,6017.0
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.400,6021.98660740221
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.450,6043.858097809142
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.500,6065.382823998807
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.550,6086.907550188472
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.600,6108.779040595404
2020-06-10,26,4 day ahead cum death,quantile,2020-06-14,0.650,6131.384961826139
