forecast_date,location,target,type,target_end_date,quantile,value
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.010,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.025,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.050,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.100,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.150,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.200,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.250,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.300,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.350,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.400,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.450,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.500,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.550,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.600,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.650,318.0
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.700,319.76759737840086
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.750,322.4251189492843
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.800,325.384395241717
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.850,328.83379318186763
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.900,333.1739234348615
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.950,339.6066502652053
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.975,345.18608145238255
2020-06-10,33,1 day ahead cum death,quantile,2020-06-11,0.990,351.6733759837448
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.010,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.025,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.050,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.100,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.150,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.200,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.250,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.300,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.350,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.400,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.450,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.500,318.0
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.550,318.1692071614001
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.600,321.38947037949504
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.650,324.71786800105895
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.700,328.2254977517703
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.750,332.0107817567616
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.800,336.225874999588
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.850,341.13908097042867
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.900,347.3210159756732
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.950,356.4835748975505
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.975,364.4307283134122
2020-06-10,33,2 day ahead cum death,quantile,2020-06-12,0.990,373.6710116263602
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.010,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.025,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.050,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.100,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.150,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.200,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.250,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.300,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.350,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.400,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.450,318.0
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.500,319.43265711537504
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.550,323.34108343670084
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.600,327.3124746655529
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.650,331.4172227017183
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.700,335.7430088510494
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.750,340.41121224873
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.800,345.6094781045432
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.850,351.6686918323215
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.900,359.2925662781147
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.950,370.5922966640396
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.975,380.393127600079
2020-06-10,33,3 day ahead cum death,quantile,2020-06-13,0.990,391.7887116302749
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.010,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.025,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.050,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.100,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.150,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.200,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.250,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.300,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.350,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.400,318.0
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.450,319.2383187079798
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.500,323.7817126182823
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.550,328.32510652858485
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.600,332.941694700183
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.650,337.7133049846297
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.700,342.7418634970173
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.750,348.1684687712037
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.800,354.2112510809452
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.850,361.25485187797165
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.900,370.11731003432203
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.950,383.252808059025
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.975,394.64589364637254
2020-06-10,33,4 day ahead cum death,quantile,2020-06-14,0.990,407.89281781240635
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.010,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.025,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.050,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.100,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.150,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.200,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.250,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.300,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.350,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.400,318.0
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.450,322.9353956875456
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.500,328.0481135702712
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.550,333.16083145299683
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.600,338.35591542944593
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.650,343.72544704222736
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.700,349.38412457232596
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.750,355.49072734011867
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.800,362.29071910538823
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.850,370.21694000207896
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.900,380.1899357835217
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.950,394.97141785953517
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.975,407.7921491392441
2020-06-10,33,5 day ahead cum death,quantile,2020-06-15,0.990,422.699019952539
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.010,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.025,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.050,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.100,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.150,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.200,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.250,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.300,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.350,318.0
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.400,320.8691081807655
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.450,326.5958820650679
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.500,332.2318601130322
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.550,337.86783816099654
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.600,343.5946120452989
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.650,349.51368737698016
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.700,355.7515012113596
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.750,362.4830831089648
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.800,369.97901877263314
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.850,378.7164472796898
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.900,389.71012746817854
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.950,406.00441759090654
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.975,420.1372842400572
2020-06-10,33,6 day ahead cum death,quantile,2020-06-16,0.990,436.5697959871717
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.010,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.025,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.050,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.100,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.150,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.200,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.250,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.300,318.0
2020-06-10,33,7 day ahead cum death,quantile,2020-06-17,0.350,318.0
