forecast_date,location,target,type,target_end_date,quantile,value
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.010,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.025,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.050,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.100,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.150,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.200,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.250,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.300,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.350,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.400,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.450,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.500,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.550,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.600,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.650,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.700,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.750,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.800,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.850,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.900,2924.0
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.950,2937.595078595353
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.975,2954.705464782559
2020-06-10,12,1 day ahead cum death,quantile,2020-06-11,0.990,2974.599986467289
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.010,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.025,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.050,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.100,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.150,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.200,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.250,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.300,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.350,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.400,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.450,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.500,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.550,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.600,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.650,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.700,2924.0
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.750,2928.0378638919865
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.800,2940.9323005850583
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.850,2955.962341369767
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.900,2974.873564674607
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.950,3002.9028463911536
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.975,3027.2140681619553
2020-06-10,12,2 day ahead cum death,quantile,2020-06-12,0.990,3055.481117392156
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.010,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.025,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.050,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.100,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.150,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.200,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.250,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.300,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.350,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.400,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.450,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.500,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.550,2924.0
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.600,2928.177371454358
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.650,2940.7064311260056
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.700,2953.9101728208034
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.750,2968.159086131343
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.800,2984.025926805299
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.850,3002.520667454355
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.900,3025.791274326909
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.950,3060.2818191865244
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.975,3090.1972231400596
2020-06-10,12,3 day ahead cum death,quantile,2020-06-13,0.990,3124.9803452829174
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.010,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.025,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.050,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.100,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.150,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.200,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.250,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.300,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.350,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.400,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.450,2924.0
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.500,2932.6808437342033
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.550,2946.5215250418146
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.600,2960.585180290083
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.650,2975.121084192536
2020-06-10,12,4 day ahead cum death,quantile,2020-06-14,0.700,2990.4397374241676
