forecast_date,location,target,type,target_end_date,quantile,value
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.010,6017.0
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.025,6017.0
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.050,6017.0
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.100,6017.0
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.150,6017.0
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.200,6027.671683847149
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.250,6042.0194500533435
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.300,6054.904187542862
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.350,6066.843817036645
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.400,6078.173357847332
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.450,6089.1348196973795
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.500,6099.922491711077
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.550,6110.710163724774
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.600,6121.6716255748215
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.650,6133.001166385508
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.700,6144.940795879292
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.750,6157.82553336881
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.800,6172.173299575004
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.850,6188.8973734047995
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.900,6209.940077100166
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.950,6241.128533840787
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.975,6268.179868804632
2020-06-14,26,1 day ahead cum death,quantile,2020-06-15,0.990,6299.632891790258
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.010,6017.0
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.025,6017.0
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.050,6017.0
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.100,6017.0
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.150,6017.0
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.200,6031.298674377673
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.250,6051.635940618814
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.300,6069.899434252997
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.350,6086.823282909719
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.400,6102.882360298179
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.450,6118.419703521704
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.500,6133.7107080384885
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.550,6149.001712555273
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.600,6164.539055778798
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.650,6180.598133167258
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.700,6197.52198182398
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.750,6215.785475458163
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.800,6236.122741699304
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.850,6259.8283093274
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.900,6289.655326393052
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.950,6333.863458813728
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.975,6372.207420753986
2020-06-14,26,2 day ahead cum death,quantile,2020-06-16,0.990,6416.790563060227
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.010,6017.0
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.025,6017.0
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.050,6017.0
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.100,6017.0
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.150,6017.0
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.200,6041.051688376224
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.250,6066.015183396336
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.300,6088.433173453646
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.350,6109.206782190132
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.400,6128.91890542543
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.450,6147.990612782125
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.500,6166.759945424044
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.550,6185.529278065965
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.600,6204.600985422659
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.650,6224.313108657957
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.700,6245.0867173944425
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.750,6267.504707451752
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.800,6292.468202471865
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.850,6321.566204750843
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.900,6358.178135929525
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.950,6412.442533142337
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.975,6459.508805058995
2020-06-14,26,3 day ahead cum death,quantile,2020-06-17,0.990,6514.233517699643
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.010,6017.0
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.025,6017.0
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.050,6017.0
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.100,6017.0
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.150,6019.9397516423205
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.200,6053.612170657761
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.250,6082.500107923969
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.300,6108.4423684082585
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.350,6132.481738916629
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.400,6155.292750713906
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.450,6177.362668617459
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.500,6199.082676310754
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.550,6220.802684004049
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.600,6242.872601907603
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.650,6265.6836137048795
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.700,6289.72298421325
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.750,6315.6652446975395
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.800,6344.553181963747
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.850,6378.225600979188
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.900,6420.593192946272
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.950,6483.388346477833
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.975,6537.853777275373
2020-06-14,26,4 day ahead cum death,quantile,2020-06-18,0.990,6601.181611154427
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.010,6017.0
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.025,6017.0
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.050,6017.0
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.100,6017.0
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.150,6029.980128531681
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.200,6067.706615034709
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.250,6100.072581224252
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.300,6129.138219174699
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.350,6156.071864381759
2020-06-14,26,5 day ahead cum death,quantile,2020-06-19,0.400,6181.629259836351
