forecast_date,location,target,type,target_end_date,quantile,value
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.010,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.025,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.050,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.100,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.150,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.200,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.250,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.300,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.350,100.0
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.400,100.75952852858825
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.450,102.06168323292594
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.500,103.34319276638553
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.550,104.62470229984511
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.600,105.9268570041828
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.650,107.27273724045426
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.700,108.69109228525267
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.750,110.22172038629022
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.800,111.92614736124273
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.850,113.91286516504235
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.900,116.41260981441027
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.950,120.11760794526252
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.975,123.33114128266457
2020-06-14,23,1 day ahead cum death,quantile,2020-06-15,0.990,127.0675682671912
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.010,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.025,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.050,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.100,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.150,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.200,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.250,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.300,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.350,100.0
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.400,100.78296439626932
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.450,102.63431789865027
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.500,104.45631889069958
2020-06-14,23,2 day ahead cum death,quantile,2020-06-16,0.550,106.27831988274889
