forecast_date,location,target,type,target_end_date,quantile,value
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.010,2413.0
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.025,2413.0
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.050,2413.0
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.100,2413.0
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.150,2413.0
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.200,2421.401871009916
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.250,2429.7922935447
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.300,2437.327152297846
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.350,2444.309321851067
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.400,2450.934717969224
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.450,2457.3448653886257
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.500,2463.6533823424716
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.550,2469.9618992963174
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.600,2476.372046715719
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.650,2482.9974428338764
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.700,2489.979612387097
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.750,2497.514471140243
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.800,2505.9048936750273
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.850,2515.6849558755343
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.900,2527.990507328009
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.950,2546.2291882837017
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.975,2562.0485240057087
2020-06-14,18,1 day ahead cum death,quantile,2020-06-15,0.990,2580.441920514481
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.010,2413.0
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.025,2413.0
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.050,2413.0
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.100,2413.0
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.150,2413.0
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.200,2425.3804175993914
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.250,2437.2973268771534
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.300,2447.999079716148
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.350,2457.915848601473
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.400,2467.3258925107034
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.450,2476.4302188944343
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.500,2485.3901996230015
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.550,2494.3501803515687
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.600,2503.4545067352997
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.650,2512.86455064453
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.700,2522.781319529855
2020-06-14,18,2 day ahead cum death,quantile,2020-06-16,0.750,2533.48307236885
