date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativePositiveTests,cumulativeNegativeTests,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-04-17,631,19805,126,821,80,2830,1.13,-0.009999999999999787,279,158834,17194,54490,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-18,644,19805,129,821,82,2830,1.12,-0.020000000000000018,300,166127,17669,56539,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-19,656,19805,132,821,83,2830,1.11,-0.010000000000000009,322,173494,18301,61632,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-20,668,19805,134,821,85,2830,1.11,0.010000000000000009,344,180920,18947,65381,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-21,679,19805,137,821,87,2830,1.09,-0.010000000000000009,367,188393,19881,68259,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-22,690,19805,139,821,89,2830,1.07,-0.010000000000000009,389,195900,20740,73332,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-23,700,19805,141,821,90,2830,1.09,0.010000000000000009,413,203433,21512,79550,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-24,709,19805,143,821,91,2830,1.08,0.020000000000000018,436,210982,22147,85029,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-25,718,19805,145,821,93,2830,1.07,0.030000000000000027,460,218538,22695,96319,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-26,726,19805,147,821,94,2830,nan,nan,485,226093,23401,99822,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-27,734,19805,148,821,95,2830,1.07,0.050000000000000044,509,233638,23913,103256,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-28,740,19805,150,821,96,2830,1.07,0.07000000000000006,534,241163,24615,115405,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-29,746,19805,151,821,97,2830,1.07,0.050000000000000044,559,248662,25572,118367,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-04-30,752,19805,152,821,98,2830,1.05,0.07000000000000006,584,256126,26155,122889,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-01,756,19805,153,821,99,2830,1.06,0.08000000000000007,610,263545,27270,141097,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-02,760,19805,154,821,100,2830,1.05,0.09000000000000008,636,270916,28306,146494,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-03,763,19805,155,821,100,2830,1.03,0.09000000000000008,661,278238,28602,146494,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-04,765,19805,155,821,101,2830,1.04,0.08000000000000007,687,285513,29368,153957,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-05,767,19805,155,821,101,2830,1.01,0.07000000000000006,713,292740,29711,171172,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-06,768,19805,156,821,101,2830,0.99,0.1100000000000001,740,299925,30696,173441,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-07,768,19805,156,821,102,2830,0.99,0.09000000000000008,766,307071,31439,185864,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-08,768,19805,156,821,102,2830,0.96,0.08000000000000007,792,314183,32106,195461,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-09,768,19805,156,821,102,2830,0.9500000000000001,0.08999999999999997,818,321258,32532,202792,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-10,767,19805,156,821,102,2830,0.9400000000000001,0.07999999999999996,844,328296,33441,210106,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-11,765,19805,155,821,102,2830,0.9500000000000001,0.06999999999999995,871,335296,33927,217361,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-12,763,19805,155,821,102,2830,0.9400000000000001,0.07999999999999996,897,342258,34635,227544,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-13,761,19805,155,821,102,2830,0.9500000000000001,0.08999999999999997,923,349181,35332,238572,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-14,759,19805,154,821,102,2830,0.9500000000000001,0.08999999999999997,949,356066,35858,250023,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-15,757,19805,154,821,101,2830,0.9400000000000001,0.09999999999999998,975,362912,36681,265193,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-16,754,19805,153,821,101,2830,0.98,0.1200000000000001,1001,369718,37147,283922,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-17,751,19805,152,821,101,2830,1.02,0.15999999999999992,1027,376484,37701,313474,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-18,748,19805,152,821,101,2830,1.03,0.1499999999999999,1052,383210,38081,326208,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-19,745,19805,151,821,100,2830,1.05,0.18999999999999995,1078,389896,38721,339435,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-20,742,19805,150,821,100,2830,1.05,0.18999999999999995,1104,396541,39647,363293,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-21,738,19805,150,821,99,2830,1.06,0.19999999999999996,1129,403145,40405,367326,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-22,735,19805,149,821,99,2830,1.08,0.19999999999999996,1154,409707,41218,386031,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-23,731,19805,148,821,99,2830,1.07,0.20999999999999996,1180,416229,42132,411405,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-24,727,19805,147,821,98,2830,1.1,0.21999999999999997,1205,422708,42838,439116,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-25,723,19805,146,821,98,2830,nan,nan,1230,429145,43344,470201,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-26,720,19805,146,821,97,2830,1.11,0.22999999999999998,1255,435539,43730,471215,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-27,716,19805,145,821,97,2830,1.1,0.21999999999999997,1279,441891,44421,396335,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-28,712,19805,144,821,96,2830,1.09,0.20999999999999996,1304,448200,45070,399576,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-29,707,19805,143,821,96,2830,1.07,0.18999999999999995,1329,454469,45670,404601,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-30,703,19805,142,821,95,2830,1.07,0.18999999999999995,1353,460695,46286,408552,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-05-31,699,19805,141,821,95,2830,1.05,0.18999999999999995,1377,466877,46986,418539,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-01,695,19805,140,821,94,2830,1.04,0.15999999999999992,1401,473016,47618,424013,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-02,691,19805,139,821,94,2830,nan,nan,1425,479109,48207,426080,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-03,686,19805,138,821,93,2830,nan,nan,1449,485159,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-04,682,19805,138,821,93,2830,nan,nan,1473,491247,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-05,678,19805,137,821,92,2830,nan,nan,1496,497671,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-06,677,19805,136,821,92,2830,nan,nan,1520,504719,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-07,678,19805,136,821,92,2830,nan,nan,1543,512645,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-08,684,19805,137,821,93,2830,nan,nan,1566,521714,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-09,696,19805,140,821,94,2830,nan,nan,1590,532219,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-10,717,19805,143,821,96,2830,nan,nan,1614,544570,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-11,749,19805,149,821,100,2830,nan,nan,1639,559260,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-12,795,19805,158,821,105,2830,nan,nan,1666,576946,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-13,858,19805,169,821,112,2830,nan,nan,1693,598493,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-14,943,19805,185,821,122,2830,nan,nan,1723,625056,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-15,1056,19805,207,821,135,2830,nan,nan,1757,658194,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-16,1205,19805,235,821,152,2830,nan,nan,1794,699993,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-17,1403,19805,272,821,175,2830,nan,nan,1836,753268,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-18,1663,19805,321,821,205,2830,nan,nan,1886,821421,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-19,2003,19805,386,821,244,2830,nan,nan,1944,907631,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-20,2446,19805,472,821,295,2830,nan,nan,2022,1015664,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-21,3018,19805,589,821,360,2830,nan,nan,2134,1150032,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-22,3736,19805,736,821,442,2830,nan,nan,2272,1315878,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-23,4631,19805,918,821,545,2830,nan,nan,2442,1518731,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-24,5731,19805,1142,821,671,2830,nan,nan,2653,1764145,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-25,7068,19805,1414,821,825,2830,nan,nan,2913,2057249,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-26,8669,19805,1741,821,1010,2830,nan,nan,3234,2401997,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-27,10555,19805,2127,821,1228,2830,nan,nan,3627,2800062,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-28,12736,19805,2576,821,1482,2830,nan,nan,4103,3250506,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-29,15203,19805,3087,821,1769,2830,nan,nan,4675,3748476,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-06-30,17928,19805,3657,821,2088,2830,nan,nan,5355,4285710,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-01,20859,19805,4275,821,2434,2830,nan,nan,6154,4850115,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-02,23918,19805,4928,821,2796,2830,nan,nan,7079,5426407,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-03,27013,19805,5600,821,3166,2830,nan,nan,8136,5997867,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-04,30032,19805,6268,821,3530,2830,nan,nan,9421,6548635,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-05,32853,19805,6910,821,3875,2830,nan,nan,10910,7066193,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-06,35372,19805,7504,821,4188,2830,nan,nan,12525,7540690,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-07,37503,19805,8031,821,4460,2830,nan,nan,14259,7966125,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-08,39186,19805,8479,821,4682,2830,nan,nan,16093,8340632,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-09,40379,19805,8836,821,4850,2830,nan,nan,18007,8664062,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-10,41074,19805,9099,821,4960,2830,nan,nan,19978,8939655,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-11,41280,19805,9265,821,5014,2830,nan,nan,21984,9172043,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-12,41026,19805,9338,821,5014,2830,nan,nan,24004,9366668,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-13,40366,19805,9326,821,4965,2830,nan,nan,26017,9527931,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-14,39360,19805,9238,821,4873,2830,nan,nan,28003,9660756,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-15,38065,19805,9083,821,4745,2830,nan,nan,29948,9770084,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-16,36538,19805,8871,821,4586,2830,nan,nan,31839,9859954,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-17,34838,19805,8614,821,4404,2830,nan,nan,33664,9933634,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-18,33017,19805,8319,821,4203,2830,nan,nan,35416,9994018,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-19,31122,19805,7998,821,3991,2830,nan,nan,37089,10043567,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-20,29192,19805,7657,821,3770,2830,nan,nan,38673,10084277,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-21,27263,19805,7303,821,3546,2830,nan,nan,40083,10117772,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-22,25362,19805,6944,821,3322,2830,nan,nan,41358,10145382,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-23,23511,19805,6583,821,3101,2830,nan,nan,42570,10168191,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-24,21726,19805,6226,821,2885,2830,nan,nan,43707,10187078,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-25,20021,19805,5875,821,2676,2830,nan,nan,44770,10202752,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-26,18404,19805,5533,821,2476,2830,nan,nan,45764,10215785,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-27,16881,19805,5203,821,2285,2830,nan,nan,46689,10226649,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-28,15454,19805,4885,821,2104,2830,nan,nan,47549,10235724,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-29,14123,19805,4582,821,1933,2830,nan,nan,48348,10243318,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-30,12888,19805,4293,821,1773,2830,nan,nan,49089,10249684,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-07-31,11746,19805,4018,821,1623,2830,nan,nan,49775,10255026,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-01,10693,19805,3759,821,1484,2830,nan,nan,50410,10259518,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-02,9727,19805,3515,821,1354,2830,nan,nan,50997,10263302,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-03,8840,19805,3285,821,1234,2830,nan,nan,51539,10266493,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-04,8030,19805,3069,821,1124,2830,nan,nan,52040,10269184,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-05,7291,19805,2867,821,1022,2830,nan,nan,52502,10271458,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-06,6618,19805,2677,821,928,2830,nan,nan,52929,10273381,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-07,6006,19805,2500,821,843,2830,nan,nan,53322,10275008,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-08,5450,19805,2335,821,764,2830,nan,nan,53685,10276386,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-09,4946,19805,2181,821,692,2830,nan,nan,54019,10277554,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-10,4490,19805,2038,821,627,2830,nan,nan,54328,10278545,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
