fips,state,country,aggregate_level,can_location_page_url
02164,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/lake_and_peninsula_borough
02170,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/matanuska_susitna_borough
02180,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/nome_census_area
02185,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/north_slope_borough
02188,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/northwest_arctic_borough
02195,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/petersburg_borough
02198,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/prince_of_wales_hyder_census_area
02220,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/sitka_city_and_borough
02230,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/skagway_municipality
02240,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/southeast_fairbanks_census_area
02261,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/valdez_cordova_census_area
02275,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/wrangell_city_and_borough
02282,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/yakutat_city_and_borough
02290,AK,USA,county,https://covidactnow.org/us/alaska-ak/county/yukon_koyukuk_census_area
04,AZ,USA,state,https://covidactnow.org/us/arizona-az
04001,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/apache_county
04003,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/cochise_county
04005,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/coconino_county
04007,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/gila_county
04009,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/graham_county
04011,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/greenlee_county
04012,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/la_paz_county
04013,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/maricopa_county
04015,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/mohave_county
04017,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/navajo_county
04019,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/pima_county
04021,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/pinal_county
04023,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/santa_cruz_county
04025,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/yavapai_county
04027,AZ,USA,county,https://covidactnow.org/us/arizona-az/county/yuma_county
05,AR,USA,state,https://covidactnow.org/us/arkansas-ar
05001,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/arkansas_county
05003,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/ashley_county
05005,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/baxter_county
05007,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/benton_county
05009,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/boone_county
05011,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/bradley_county
