forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.010,43.03950350504702
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.025,53.85722553532418
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.050,63.1610632720192
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.100,73.88779232847733
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.150,81.12506549760917
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.200,86.87702078620688
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.250,91.81168626001337
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.300,96.2431683677396
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.350,100.34959696340351
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.400,104.24619613216066
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.450,108.016200922908
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.500,111.72643371202062
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.550,115.43666650113325
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.600,119.2066712918806
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.650,123.10327046063773
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.700,127.20969905630164
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.750,131.6411811640279
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.800,136.57584663783436
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.850,142.32780192643207
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.900,149.56507509556394
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.975,169.59564188871704
2020-05-21,54,West Virginia,1 day ahead cum death,2020-05-22,quantile,0.990,180.4133639189942
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.010,39.23468403673
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.025,50.91915927434341
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.050,60.96845258627379
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.100,72.55464417910417
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.150,80.37179264121886
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.200,86.58461443025843
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.250,91.91466232511273
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.300,96.70121006674734
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.350,101.13665988758484
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.400,105.34546802397595
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.450,109.4175386040741
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.500,113.425048043569
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.550,117.43255748306393
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.600,121.50462806316207
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.650,125.71343619955319
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.700,130.14888602039068
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.750,134.9354337620253
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.800,140.2654816568796
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.850,146.47830344591915
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.900,154.29545190803387
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.975,175.93093681279458
2020-05-21,54,West Virginia,2 day ahead cum death,2020-05-23,quantile,0.990,187.615412050408
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.010,35.77843529050237
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.025,48.2696647429005
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.050,59.01281118645543
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.100,71.398971002996
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.150,79.75585422779025
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.200,86.39764009626741
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.250,92.09570097559327
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.300,97.21273575120277
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.350,101.95443106143185
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.400,106.45383621944387
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.450,110.80706278101218
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.500,115.09127058011288
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.550,119.37547837921358
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.600,123.7287049407819
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.650,128.2281100987939
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.700,132.969805409023
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.750,138.0868401846325
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.800,143.78490106395833
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.850,150.4266869324355
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.900,158.7835701572298
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.975,181.91287641732524
2020-05-21,54,West Virginia,3 day ahead cum death,2020-05-24,quantile,0.990,194.40410586972337
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.010,32.6016149573379
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.025,45.85056453405967
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.050,57.245392086336416
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.100,70.38289848504066
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.150,79.24671168179484
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.200,86.29138942197861
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.250,92.33509565305624
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.300,97.76253063715754
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.350,102.7918579994327
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.400,107.56419784723673
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.450,112.18149187982625
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.500,116.72558045996085
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.550,121.26966904009545
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.600,125.88696307268498
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.650,130.65930292048904
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.700,135.68863028276417
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.750,141.11606526686546
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.800,147.1597714979431
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.850,154.20444923812687
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.900,163.0682624348811
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.975,187.60059638586202
2020-05-21,54,West Virginia,4 day ahead cum death,2020-05-25,quantile,0.990,200.84954596258382
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.010,29.654152417458008
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.025,43.61977150651285
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.050,55.630974376524826
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.100,69.47912204150535
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.150,78.82240152683914
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.200,86.24814387379534
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.250,92.61876960684776
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.300,98.33978840759438
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.350,103.64116492872647
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.400,108.6716528245405
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.450,113.5387080811027
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.500,118.32859801536466
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.550,123.11848794962663
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.600,127.98554320618884
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.650,133.01603110200287
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.700,138.31740762313495
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.750,144.03842642388156
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.800,150.40905215693397
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.850,157.83479450389018
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.900,167.17807398922403
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.975,193.03742452421648
2020-05-21,54,West Virginia,5 day ahead cum death,2020-05-26,quantile,0.990,207.0030436132713
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.010,26.899238586280248
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.025,41.546503457054925
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.050,54.143959304290206
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.100,68.6680191060886
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.150,78.46733330123334
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.200,86.25551757895279
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.250,92.93708621615863
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.300,98.93734135492946
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.350,104.4974719577743
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.400,109.77349217351689
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.450,114.87810279113238
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.500,119.90178173594747
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.550,124.92546068076257
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.600,130.03007129837806
2020-05-21,54,West Virginia,6 day ahead cum death,2020-05-27,quantile,0.650,135.30609151412065
