forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.010,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.025,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.050,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.100,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.150,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.200,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.250,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.300,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.350,138.0
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.400,138.92399062188485
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.450,147.06264536221403
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.500,155.07226480645096
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.550,163.0818842506879
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.600,171.2205389910171
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.650,179.63248461342081
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.700,188.49740824374285
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.750,198.06405467115513
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.800,208.71696913134406
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.850,221.13424199280036
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.900,236.75800664412756
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.975,279.9998263316457
2020-05-30,41,Oregon,1 day ahead cum death,2020-05-31,quantile,0.990,303.35303397142326
2020-05-30,41,Oregon,2 day ahead cum death,2020-06-01,quantile,0.010,138.0
2020-05-30,41,Oregon,2 day ahead cum death,2020-06-01,quantile,0.025,138.0
2020-05-30,41,Oregon,2 day ahead cum death,2020-06-01,quantile,0.050,138.0
