forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.010,22.374052186920842
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.025,31.23667204348216
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.050,38.8590140519637
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.100,47.647086223317444
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.150,53.57635679586358
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.200,58.288753085221074
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.250,62.33156950176792
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.300,65.96214359232111
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.350,69.32641155091922
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.400,72.51877285114783
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.450,75.60741935401538
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.500,78.6470965334827
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.550,81.68677371295003
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.600,84.77542021581756
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.650,87.96778151604619
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.700,91.33204947464428
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.750,94.96262356519748
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.800,99.00543998174432
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.850,103.71783627110182
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.900,109.64710684364798
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.975,126.05752102348322
2020-05-21,16,Idaho,1 day ahead cum death,2020-05-22,quantile,0.990,134.92014088004456
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.010,18.807751503445893
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.025,28.380475036601652
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.050,36.61354538186002
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.100,46.105748212099655
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.150,52.51009239732829
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.200,57.60006213390584
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.250,61.96680294839027
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.300,65.8882711595958
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.350,69.5220958728685
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.400,72.97024017327081
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.450,76.30635968895893
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.500,79.58958629012486
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.550,82.87281289129078
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.600,86.2089324069789
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.650,89.65707670738122
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.700,93.29090142065392
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.750,97.21236963185946
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.800,101.57911044634388
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.850,106.66908018292142
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.900,113.07342436815009
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.975,130.79869754364805
2020-05-21,16,Idaho,2 day ahead cum death,2020-05-23,quantile,0.990,140.3714210768038
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.010,15.553874499751274
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.025,25.787546419573275
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.050,34.589068840477694
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.100,44.736660508055586
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.150,51.583192430370865
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.200,57.02459896274836
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.250,61.69284125550347
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.300,65.885067112491
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.350,69.76978913553629
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.400,73.45601044761138
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.450,77.02247222733571
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.500,80.53238910296575
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.550,84.0423059785958
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.600,87.60876775832014
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.650,91.29498907039522
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.700,95.1797110934405
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.750,99.37193695042805
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.800,104.04017924318316
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.850,109.48158577556063
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.900,116.32811769787595
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.975,135.27723178635821
2020-05-21,16,Idaho,3 day ahead cum death,2020-05-24,quantile,0.990,145.51090370618022
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.010,12.555362217080997
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.025,23.40981043349774
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.050,32.745234716378164
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.100,43.50838103766282
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.150,50.77022476248177
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.200,56.54170794983712
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.250,61.49312662198058
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.300,65.93965361959279
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.350,70.06002354787286
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.400,73.96985167795685
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.450,77.75265564188544
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.500,81.47548467812409
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.550,85.19831371436275
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.600,88.98111767829134
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.650,92.89094580837533
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.700,97.01131573665539
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.750,101.45784273426762
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.800,106.40926140641108
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.850,112.1807445937664
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.900,119.4425883185854
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.975,139.5411589227504
2020-05-21,16,Idaho,4 day ahead cum death,2020-05-25,quantile,0.990,150.39560713916717
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.010,9.769911435108725
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.025,21.21150447118511
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.050,31.051905690500504
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.100,42.397258078807816
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.150,50.05191347301745
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.200,56.13559092282118
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.250,61.35484447384114
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.300,66.04189547046936
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.350,70.38514672907925
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.400,74.50646744603341
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.450,78.49389293534267
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.500,82.4180992999839
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.550,86.34230566462513
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.600,90.32973115393438
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.650,94.45105187088855
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.700,98.79430312949843
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.750,103.48135412612666
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.800,108.7006076771466
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.850,114.78428512695034
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.900,122.43894052116002
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.975,143.62469412878266
2020-05-21,16,Idaho,5 day ahead cum death,2020-05-26,quantile,0.990,155.06628716485906
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.010,7.168016352858089
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.025,19.168060366256995
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.050,29.488760234619328
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.100,41.38786620508439
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.150,49.41613651222484
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.200,55.796751250992216
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.250,61.27075055614543
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.300,66.18657111323384
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.350,70.74181146309003
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.400,75.06428909717852
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.450,79.24633623178525
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.500,83.3620785890666
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.550,87.47782094634795
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.600,91.65986808095468
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.650,95.98234571504318
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.700,100.53758606489936
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.750,105.45340662198778
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.800,110.92740592714098
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.850,117.30802066590836
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.900,125.33629097304885
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.975,147.5560968118762
2020-05-21,16,Idaho,6 day ahead cum death,2020-05-27,quantile,0.990,159.55614082527512
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.010,4.724125963332412
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.025,17.25776316263851
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.050,28.037382608079284
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.100,40.46559345992134
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.150,48.850848318595766
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.200,55.515183062281785
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.250,61.23258886874693
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.300,66.36699598680761
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.350,71.1247893613143
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.400,75.63947000809262
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.450,80.00747578182413
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.500,84.30622847426281
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.550,88.6049811667015
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.600,92.972986940433
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.650,97.48766758721133
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.700,102.24546096171801
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.750,107.3798680797787
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.800,113.09727388624384
2020-05-21,16,Idaho,7 day ahead cum death,2020-05-28,quantile,0.850,119.76160862992985
