forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.010,1279.0
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.025,1279.0
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.050,1279.0
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.100,1279.0
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.150,1279.0
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.200,1279.0
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.250,1288.9194818088267
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.300,1322.7901863440072
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.350,1354.1764418398946
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.400,1383.9589290368747
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.450,1412.7738300698693
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.500,1441.1318817333683
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.550,1469.4899333968674
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.600,1498.304834429862
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.650,1528.0873216268424
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.700,1559.4735771227295
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.750,1593.34428165791
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.800,1631.060917352286
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.850,1675.0242626493346
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.900,1730.3401897349188
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.975,1883.4378200604972
2020-05-30,51,Virginia,1 day ahead cum death,2020-05-31,quantile,0.990,1966.1198342770074
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.010,1279.0
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.025,1279.0
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.050,1279.0
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.100,1279.0
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.150,1279.0
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.200,1279.0
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.250,1312.3708762946112
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.300,1350.1443874759357
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.350,1385.1471749639368
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.400,1418.3613973599986
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.450,1450.4965419132525
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.500,1482.1221958903982
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.550,1513.747849867544
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.600,1545.882994420798
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.650,1579.0972168168596
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.700,1614.100004304861
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.750,1651.8735154861854
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.800,1693.936111457393
2020-05-30,51,Virginia,2 day ahead cum death,2020-06-01,quantile,0.850,1742.9652042364237
