forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.010,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.025,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.050,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.100,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.150,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.200,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.250,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.300,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.350,319.0
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.400,323.3868126371306
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.450,332.8041705216117
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.500,342.0722197547491
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.550,351.3402689878865
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.600,360.75762687236755
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.650,370.4912136822887
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.700,380.7489480510474
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.750,391.81865625660646
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.800,404.1453012839768
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.850,418.5135115369724
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.900,436.5920009088537
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.975,486.6277506201245
2020-05-30,40,Oklahoma,1 day ahead cum death,2020-05-31,quantile,0.990,513.6500929004272
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.010,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.025,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.050,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.100,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.150,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.200,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.250,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.300,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.350,319.0
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.400,326.93136080185275
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.450,337.39825004584
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.500,347.6991907152956
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.550,358.00013138475117
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.600,368.46702062873845
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.650,379.2853813978527
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.700,390.6863041247004
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.750,402.9896923119306
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.800,416.6900985016589
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.850,432.6595951691112
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.900,452.75286849218503
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.975,508.36492623619154
2020-05-30,40,Oklahoma,2 day ahead cum death,2020-06-01,quantile,0.990,538.3988133657373
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.010,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.025,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.050,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.100,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.150,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.200,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.250,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.300,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.350,319.0
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.400,330.6086982445044
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.450,342.0290295857444
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.500,353.268295888215
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.550,364.5075621906856
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.600,375.9278935319256
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.650,387.7317123812872
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.700,400.17115948934463
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.750,413.59527877089545
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.800,428.54367218072866
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.850,445.9678503719616
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.900,467.8914452176243
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.975,528.56927520131
2020-05-30,40,Oklahoma,3 day ahead cum death,2020-06-02,quantile,0.990,561.3389868596092
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.010,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.025,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.050,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.100,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.150,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.200,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.250,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.300,319.0
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.350,321.66152907049684
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.400,334.374606748168
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.450,346.6746565285642
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.500,358.7796936666992
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.550,370.8847308048342
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.600,383.1847805852304
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.650,395.89785826290154
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.700,409.2955272181964
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.750,423.75371853395933
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.800,439.85360019097703
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.850,458.61997856747246
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.900,482.2323677275937
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.975,547.5842657649683
2020-05-30,40,Oklahoma,4 day ahead cum death,2020-06-03,quantile,0.990,582.8782579130582
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.010,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.025,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.050,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.100,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.150,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.200,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.250,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.300,319.0
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.350,324.6388826282017
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.400,338.2003558491357
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.450,351.3212381360403
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.500,364.2340937914068
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.550,377.1469494467733
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.600,390.2678317336779
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.650,403.8293049546119
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.700,418.12105502228343
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.750,433.54410043450787
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.800,450.71839288261697
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.850,470.7371282557008
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.900,495.92526848390685
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.975,565.6383653155008
2020-05-30,40,Oklahoma,5 day ahead cum death,2020-06-04,quantile,0.990,603.2876695604391
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.010,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.025,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.050,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.100,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.150,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.200,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.250,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.300,319.0
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.350,327.70682826891067
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.400,342.0666262983498
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.450,355.9598970764209
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.500,369.6328952952378
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.550,383.30589351405473
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.600,397.19916429212583
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.650,411.558962321565
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.700,426.69202648912096
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.750,443.02298209478033
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.800,461.20827559760403
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.850,482.4054561751928
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.900,509.07634955983644
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.975,582.893255304497
2020-05-30,40,Oklahoma,6 day ahead cum death,2020-06-05,quantile,0.990,622.7588654855261
2020-05-30,40,Oklahoma,7 day ahead cum death,2020-06-06,quantile,0.010,319.0
2020-05-30,40,Oklahoma,7 day ahead cum death,2020-06-06,quantile,0.025,319.0
2020-05-30,40,Oklahoma,7 day ahead cum death,2020-06-06,quantile,0.050,319.0
