forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.010,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.025,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.050,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.100,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.150,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.200,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.250,3961.0
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.300,3993.7744224532844
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.350,4101.203339230806
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.400,4203.142875755998
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.450,4301.770557080766
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.500,4398.834533780054
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.550,4495.898510479342
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.600,4594.526191804111
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.650,4696.465728329302
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.700,4803.894645106823
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.750,4919.827337338388
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.800,5048.923887822729
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.850,5199.4016841879875
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.900,5388.737112497599
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.950,5669.360738662211
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.975,5912.759883842131
2020-05-30,06,California,1 day ahead cum death,2020-05-31,quantile,0.990,6195.763991338396
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.010,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.025,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.050,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.100,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.150,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.200,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.250,3961.0
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.300,4055.5008687773234
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.350,4175.6100491091765
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.400,4289.581915741753
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.450,4399.851015694436
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.500,4508.371840727468
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.550,4616.892665760501
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.600,4727.161765713185
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.650,4841.13363234576
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.700,4961.242812677613
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.750,5090.859502999783
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.800,5235.193834271643
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.850,5403.433125160187
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.900,5615.116569284852
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.950,5928.863321383133
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.975,6200.991838526953
2020-05-30,06,California,2 day ahead cum death,2020-06-01,quantile,0.990,6517.400049663607
2020-05-30,06,California,3 day ahead cum death,2020-06-02,quantile,0.010,3961.0
2020-05-30,06,California,3 day ahead cum death,2020-06-02,quantile,0.025,3961.0
2020-05-30,06,California,3 day ahead cum death,2020-06-02,quantile,0.050,3961.0
2020-05-30,06,California,3 day ahead cum death,2020-06-02,quantile,0.100,3961.0
2020-05-30,06,California,3 day ahead cum death,2020-06-02,quantile,0.150,3961.0
2020-05-30,06,California,3 day ahead cum death,2020-06-02,quantile,0.200,3961.0
