fips,hsa,hsa_name
02230,818,"Juneau City and Borough, AK - Sitka City and Borough, AK"
02240,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK"
02261,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
02275,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK"
02282,818,"Juneau City and Borough, AK - Sitka City and Borough, AK"
02290,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK"
04001,765,"McKinley, NM - Apache, AZ"
04003,700,"Pima (Tucson), AZ - Cochise, AZ"
04005,699,"Maricopa (Phoenix), AZ - Pinal, AZ"
04007,699,"Maricopa (Phoenix), AZ - Pinal, AZ"
04009,700,"Pima (Tucson), AZ - Cochise, AZ"
04011,700,"Pima (Tucson), AZ - Cochise, AZ"
04012,787,"Yuma, AZ - La Paz, AZ"
04013,699,"Maricopa (Phoenix), AZ - Pinal, AZ"
04015,803,"Mohave, AZ"
04017,740,"San Juan, NM - Navajo, AZ"
04019,700,"Pima (Tucson), AZ - Cochise, AZ"
04021,699,"Maricopa (Phoenix), AZ - Pinal, AZ"
04023,700,"Pima (Tucson), AZ - Cochise, AZ"
04025,699,"Maricopa (Phoenix), AZ - Pinal, AZ"
04027,787,"Yuma, AZ - La Paz, AZ"
05001,527,"Arkansas, AR - Monroe, AR"
05003,480,"Ashley, AR - Chicot, AR"
05005,407,"Baxter, AR - Marion, AR"
05007,446,"Washington (Fayetteville), AR - Benton, AR"
05009,494,"Boone, AR - Carroll, AR"
05011,473,"Jefferson (Pine Bluff), AR - Drew, AR"
05013,486,"Union, AR - Columbia, AR"
05015,494,"Boone, AR - Carroll, AR"
05017,480,"Ashley, AR - Chicot, AR"
05019,448,"Garland, AR - Hot Spring, AR"
05021,571,"Craighead, AR - Greene, AR"
05023,457,"White, AR - Cleburne, AR"
05025,473,"Jefferson (Pine Bluff), AR - Drew, AR"
05027,486,"Union, AR - Columbia, AR"
05029,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05031,571,"Craighead, AR - Greene, AR"
05033,421,"Sebastian (Fort Smith), AR - Crawford, AR"
05035,499,"Crittenden (West Memphis), AR - St. Francis, AR"
05037,499,"Crittenden (West Memphis), AR - St. Francis, AR"
05039,496,"Ouachita, AR - Dallas, AR"
05041,473,"Jefferson (Pine Bluff), AR - Drew, AR"
05043,473,"Jefferson (Pine Bluff), AR - Drew, AR"
05045,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05047,421,"Sebastian (Fort Smith), AR - Crawford, AR"
05049,574,"Howell, MO - Independence, AR"
