location_id,variable,annotation_type,comment,date
iso1:us#iso2:us-mo#fips:29227,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ms,total_tests_viral,cumulative_tail_truncated,Removed 2 values less than 60.,2020-12-14
iso1:us#iso2:us-mt#fips:30019,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-nd#fips:38001,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-nd#fips:38013,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-nd#fips:38095,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ne#fips:31003,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ne#fips:31065,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ne#fips:31091,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-nv,negative_tests,cumulative_tail_truncated,Removed 1 values less than 116.,2020-12-10
iso1:us#iso2:us-nv,positive_tests,cumulative_tail_truncated,Removed 1 values less than 29.,2020-12-10
iso1:us#iso2:us-oh#fips:39163,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-or,positive_cases_viral,cumulative_long_tail_truncated,Removed 13 values less than 11.,2020-12-03
iso1:us#iso2:us-sc#fips:45053,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tn,negative_tests,cumulative_tail_truncated,Removed 5 values less than 227.,2020-12-04
iso1:us#iso2:us-tn#fips:47065,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx,negative_tests,cumulative_tail_truncated,Removed 1 values less than 862.,2020-12-10
iso1:us#iso2:us-tx,positive_tests,cumulative_tail_truncated,Removed 1 values less than 120.,2020-12-10
iso1:us#iso2:us-tx#fips:48003,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48013,negative_tests,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-14
iso1:us#iso2:us-tx#fips:48019,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48025,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48029,positive_tests,cumulative_tail_truncated,Removed 1 values less than 9.,2020-12-14
iso1:us#iso2:us-tx#fips:48045,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48047,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48057,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48063,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48063,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48065,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48071,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48081,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48105,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48105,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48109,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48109,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48111,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48115,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48123,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48137,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48151,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48159,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48159,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48163,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48165,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48173,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48177,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48179,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48179,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48187,negative_tests,cumulative_tail_truncated,Removed 1 values less than 2.,2020-12-14
iso1:us#iso2:us-tx#fips:48189,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48191,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48211,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48229,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48239,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48243,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48253,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48259,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48271,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48273,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48283,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48283,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48303,negative_tests,cumulative_tail_truncated,Removed 1 values less than 7.,2020-12-14
iso1:us#iso2:us-tx#fips:48307,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48311,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48317,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48317,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48327,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48329,positive_tests,cumulative_long_tail_truncated,Removed 8 values less than 1.,2020-12-07
iso1:us#iso2:us-tx#fips:48335,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48341,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
